e52,e23,x38,xv38,vinqi
ABDOMINAL,abdominal,abdominal,,उदर मांसपेशी
ABDOMINOCENTESIS,abdominocentesis,abdominosentesis,,उदरछेदन
ABDOMINOPLASTY,abdominoplasty,abdominoplasty,,उदरसंधान
ABDOMINOUS,abdominous,abdominous,,तुंदिल
ABDOMINOUSNESS,abdominousness,abdominousness,,तुंदिलता
ABDOMINOVAGINAL,abdominowaginal,abdominowaginal,,उदर योनि संबंधी
ABDOMINOVESICAL,abdominowesical,abdominowesikal,,उदरमूत्राशयिक
ABDUCE,abduce,abduse,,उद्धृत करना
ABDUCENS,abducens,abdusens,,अपकर्षिणी
ABDUCENT,abducent,abdusent,,अपकर्षिणी
ABDUCT,abduct,abdukt,,अपहरण करना
ABDUCTED,abducted,abdukted,,अगवा
ABDUCTING,abducting,abdukting,,अपकर्षिणी
ABDUCTION,abduction,abduktion,,अपहरण
ABDUCTOR,abductor,abduktor,,अपकर्षी
ABEAM,abeam,abeam,,आड़ा
ABECEDARIAN,abecedarian,abesedarian,,नौसिखिया
ABECEDARIUS,abecedarius,abesedarius,,वर्णक्रम्युक्त कविता
ABED,abed,abed,,बिछौने पर
ABEL,abel,abel,,एबल
ABELE,abele,abele,,सफ़ेद पीपल
ABELMOSK,abelmosk,abelmosk,,एबलमौस्क
ABEND,abend,abend,,कंप्यूटर का अकस्मात् बंद हो जाना
ABERDEEN,aberdeen,abxrdeen,,ऐबरडीन
ABERRANCE,aberrance,abxrranse,,पथांतरण
ABERRANCY,aberrancy,abxrransi,,पथांतरण
ABERRANT,aberrant,abxrrant,,अनैतिक
ABERRATE,aberrate,abxrrate,,अपसरित होना
ABERRATION,aberration,abxrration,,असामान्यता
ABET,abet,abet,,अपराध में सहायक होना
ABETMENT,abetment,abetment,,अवप्रेरण
ABETTAL,abettal,abettal,,उकसाहट
ABETTER,abetter,abettxr,,अवप्रेरक
ABETTOR,abettor,abettor,,अवप्रेरक
ABEYANCE,abeyance,abeyanse,,क्षणिक विराम
ABEYANT,abeyant,abeyant,,प्रसुप्त
ABHOR,abhor,abhor,,घृणा करना
ABHORE,abhore,abhore,,घिनाना
ABHORRENCE,abhorrence,abhorrense,,घृणा
ABHORRENT,abhorrent,abhorrent,,का विरोधी
ABHORRER,abhorrer,abhorrxr,,घृणा करने वाला
ABIDANCE,abidance,abidanse,,अनुकूलता
ABIDE,abide,abide,,एक जगह रहना
ABIDING,abiding,abiding,,स्थायी
ABIDJAN,abidzan,abidzan,,अबिजान
ABIENCE,abience,abiense,,टाल मटोल
ABIES,abies,abies,,देवदार
ABIGAIL,abigail,abigail,,सहेली
ABILITY,ability,ability,,काबिलियत
ABIOGENESIS,abiogenesis,abiogenesis,,अजीवात् जनन
ABIOGENETIC,abiogenetic,abiogenetik,,अजीवात् जनिक
ABIOGENIST,abiogenist,abiogenist,,अजीवात् जननवादी
ABIOSIS,abiosis,abiosis,,अजीवता
ABIOTROPHY,abiotrophy,abiotrophy,,अजीवीपोषण
ABJECT,abzect,abzekt,,अति
ABJECTION,abzection,abzektion,,अधोगति
ABJECTLY,abzectly,abzektly,,दीन हीन ढंग से
ABJURATION,abzuration,abzuration,,प्रत्याहार
ABJURE,abzure,abzure,,अस्वीकार करना
ABJURER,abzurer,abzurxr,,त्याजक
ABLACTATE,ablactate,ablaktate,,दूध छुड़ाना
ABLACTATION,ablactation,ablaktation,,अपस्तनन
ABLATE,ablate,ablate,,अंशोच्छेदन करना
ABLATED,ablated,ablated,,अपक्षारित
ABLATION,ablation,ablation,,अंशोच्छेदन
ABLATIVE,ablatiwe,ablatiwe,,अपक्षरणीय
ABLAUT,ablaut,ablaut,,अपश्रुति
ABLAZE,ablaze,ablaze,,उत्तेजित
ABLE,able,able,,तगड़ा
ABLEPHARIA,ablepharia,ablepharia,,सहजवर्त्महीनता
ABLOOM,abloom,abloom,,खिला हुआ
ABLS,abls,abls,,ए बी एल एस
ABLUSH,ablush,ablush,,लज्जित
ABLUTION,ablution,ablution,,अपमार्जन जल
ABLUTIONARY,ablutionary,ablutionary,,अपमार्जन
ABLUTIONS,ablutions,ablutions,,प्रक्षालन
ABLUTOPHOBIA,ablutophobia,ablutophobia,,धोने या नहाने का डर
ABLY,ably,ably,,कुशलतापूर्वक
ABNAKI,abnaki,abnaki,,ऐब्नाकी
ABNEGATE,abnegate,abnegate,,आत्मनिषेध करना
ABNEGATION,abnegation,abnegation,,अस्वीकरण
ABNEGATOR,abnegator,abnegator,,आत्मनिषेधक
ABNORMAL,abnormal,abnormal,,असाधारण
ABNORMALCY,abnormalcy,abnormalsi,,अपसामान्यता
ABNORMALITY,abnormality,abnormality,,अनियमितता
ABNORMALLY,abnormally,abnormally,,असाधारण रूप से
ABO,abo,abo,,ऑस्ट्रेलियाई आदिवासी
ABOARD,aboard,aboard,,के पास
ABOCCLUSION,abocclusion,abokklusion,,एबौक्लूज़न
ABODE,abode,abode,,घर
ABOHM,abohm,abohm,,एबौम
ABOLISH,abolish,abolish,,उठा देना
ABOLISHABLE,abolishable,abolishable,,उन्मूलनीय
ABOLISHER,abolisher,abolishxr,,उन्मूलक
ABOLISHMENT,abolishment,abolishment,,उन्मूलन
ABOLITION,abolition,abolition,,उन्मूलन
ABOLITIONARY,abolitionary,abolitionary,,उन्मूलनवादी
ABOLITIONISM,abolitionism,abolitionism,,दासता उन्मूलन आंदोलन
ABOLITIONIST,abolitionist,abolitionist,,उन्मूलनवादी
ABOMASAL,abomasal,abomasal,,चतुर्थ आमाशय संबंधी
ABOMASUM,abomasum,abomasum,,चतुर्थ आमाशय
ABOMINABLE,abominable,abominable,,ख़राब
ABOMINABLY,abominably,abominably,,बुरी तरह से
ABOMINATE,abominate,abominate,,नापसंद करना
ABOMINATION,abomination,abomination,,घृणास्पाद बात
ABOMINATOR,abominator,abominator,,घृणा करने वाला
ABONDON,abondon,abondon,,त्यागना
ABOR,abor,abor,,एबौर
ABORAL,aboral,aboral,,अपमुखी
ABORIGINAL,aboriginal,aboriginal,,असामान्य
ABORIGINE,aborigine,aborigine,,ऑस्ट्रेलियाई आदिवासी
ABORIGINES,aborigines,aborigines,,आदिम वनस्पति तथा प्राणी
ABORT,abort,abort,,अवर्धित होना
ABORTICIDE,aborticide,abortiside,,गर्भनाशक दवा
ABORTIFACIENT,abortifacient,abortifasient,,गर्भनाशक दवा
ABORTION,abortion,abortion,,गर्भपात
ABORTIONIST,abortionist,abortionist,,गर्भपात करवाने वाला
ABORTIVE,abortiwe,abortiwe,,अधूरा
ABORTUS,abortus,abortus,,निष्कासित भ्रूण
ABOULIA,aboulia,aboulia,,इच्छादौर्बल्य
ABOULIC,aboulic,aboulik,,इच्छादौर्बल्यग्रस्त
ABOUND,abound,abound,,काफी होना
ABOUNDING,abounding,abounding,,प्रचुर
ABOUT,about,about,,अवगत होना
ABOVE,abowe,abowe,,वाह
ABOVEBOARD,aboweboard,aboweboard,,ईमानदारी से
ABOVEGROUND,aboweground,aboweground,,भू सतह का
ABOVEMENTIONED,abowementioned,abowementioned,,उपरोक्त
ABRACADABRA,abracadabra,abrakadabra,,छू मंतर काली कलंतर
ABRACHIA,abrachia,abracia,,जन्मजात बाहुहीनता
ABRADANT,abradant,abradant,,अपघर्षक
ABRADE,abrade,abrade,,घिसना
ABRADER,abrader,abradxr,,अपघर्षी यंत्र
ABRAHAM,abraham,abraham,,अब्राहम
ABRANCHIAL,abranchial,abrancial,,अक्लोम
ABRANCHIATE,abranchiate,abranciate,,अक्लोम
ABRANCHIOUS,abranchious,abrancious,,अक्लोम
ABRASE,abrase,abrase,,घिस जाना
ABRASION,abrasion,abrasion,,अपघर्षण
ABRASIVE,abrasiwe,abrasiwe,,अपघर्षक
ABRASIVELY,abrasiwely,abrasiwely,,कर्कशता से
ABRASIVENESS,abrasiweness,abrasiweness,,कर्कशता
ABREACT,abreact,abreakt,,भाव विरेचन करना
ABREACTION,abreaction,abreaktion,,भाव विरेचन
ABREAST,abreast,abreast,,अगल बगल में
ABRIDGE,abridge,abridge,,कम करना
ABRIDGED,abridged,abridged,,संक्षिप्त
ABRIDGEMENT,abridgement,abridgement,,संक्षेपण
ABRIDGER,abridger,abridgxr,,संक्षेपकार
ABRIDGMENT,abridgment,abridgment,,संक्षेपण
ABROACH,abroach,abroac,,उत्तेजित
ABROAD,abroad,abroad,,घर के बाहर
ABROCOME,abrocome,abrokome,,एब्रोकोम
ABROGATE,abrogate,abrogate,,निरस्त करना
ABROGATION,abrogation,abrogation,,निरसन
ABROGATOR,abrogator,abrogator,,निराकर्ता
ABRUPT,abrupt,abrupt,,अप्रत्याशित
ABRUPTION,abruption,abruption,,अवखंडन
ABRUPTLY,abruptly,abruptly,,अचानक ही
ABRUPTNESS,abruptness,abruptness,,आकस्मिकता
ABRUZZI,abruzzi,abruzzi,,अब्रूज़ी
ABS,abs,abs,,ऐब्स
ABSCESS,abscess,abssess,,फोड़ा
ABSCISSA,abscissa,abssissa,,भुज
ABSCISSION,abscission,abssission,,अपच्छेदन
ABSCOND,abscond,abskond,,चम्पत होना
ABSCONDER,absconder,abskondxr,,पलायनकर्ता
ABSCONDMENT,abscondment,abskondment,,पलायन
ABSEIL,abseil,abseil,,दोहरी रस्सी के सहारे उतरना
ABSEILER,abseiler,abseilxr,,दोहरी रस्सी के सहारे उतरने वाला
ABSENCE,absence,absense,,अनुपस्थिति
ABSENT,absent,absent,,अनुपस्थित होना
ABSENTEE,absentee,absentee,,अनुपस्थित जन
ABSENTEEISM,absenteeism,absenteeism,,अनुपस्थितता
ABSENTLY,absently,absently,,अनमने भाव से
ABSENTMINDED,absentminded,absentminded,,खोया खोया
ABSENTMINDEDNESS,absentmindedness,absentmindedness,,अन्यमनस्कता
ABSINTH,absinth,absinth,,अफ़संतीन
ABSINTHE,absinthe,absinthe,,अफ़संतीन
ABSOLUTE,absolute,absolute,,असीम
ABSOLUTELY,absolutely,absolutely,,अबाध रूप से
ABSOLUTENESS,absoluteness,absoluteness,,दृढ़ता
ABSOLUTION,absolution,absolution,,क्षमादान
ABSOLUTISM,absolutism,absolutism,,निरंकुशता
ABSOLUTIST,absolutist,absolutist,,निरंकुशतावादी
ABSOLUTISTIC,absolutistic,absolutistik,,निरंकुशवादी
ABSOLVE,absolwe,absolwe,,दोषमुक्त करना
ABSOLVED,absolwed,absolwed,,दोषमुक्त
ABSOLVER,absolwer,absolwxr,,क्षमादाता
ABSORB,absorb,absorb,,अपनाना
ABSORBATE,absorbate,absorbate,,अवशोष्य पदार्थ
ABSORBED,absorbed,absorbed,,डूबा
ABSORBENCY,absorbency,absorbensi,,अवशोषकता
ABSORBENT,absorbent,absorbent,,अवशोषक पदार्थ
ABSORBER,absorber,absorbxr,,अवशोषक
ABSORBING,absorbing,absorbing,,दिलचस्प
ABSORPTANCE,absorptance,absorptanse,,अवशोषण दर
ABSORPTION,absorption,absorption,,अंतःशोषण
ABSORPTIVE,absorptiwe,absorptiwe,,अवशोषक
ABSORPTIVITY,absorptiwity,absorptiwity,,अवशोषकता
ABSQUATULATE,abskuatulate,abskuatulate,,डेरा छोड़ देना
ABSQUATULATION,abskuatulation,abskuatulation,,पलायन
ABSTAINER,abstainer,abstainxr,,दूर रहने वाला
ABSTEMIOUS,abstemious,abstemious,,अल्पाहारी
ABSTEMIOUSNESS,abstemiousness,abstemiousness,,मिताहारिता
ABSTENTION,abstention,abstention,,तटस्थता
ABSTINENCE,abstinence,abstinense,,परहेज करना
ABSTINENCY,abstinency,abstinensi,,अल्पाहार
ABSTINENT,abstinent,abstinent,,मद्य त्यागी
ABSTRACT,abstract,abstrakt,,अमूर्त
ABSTRACTED,abstracted,abstrakted,,अन्यमनस्क
ABSTRACTEDNESS,abstractedness,abstraktedness,,अन्यमनस्कता
ABSTRACTER,abstracter,abstraktxr,,संक्षेपकर्ता
ABSTRACTION,abstraction,abstraktion,,अन्यमनस्कता
ABSTRACTIONISM,abstractionism,abstraktionism,,अमूर्तवाद
ABSTRACTIONIST,abstractionist,abstraktionist,,अमूर्तवादी
ABSTRACTIVE,abstractiwe,abstraktiwe,,अपाकर्षी
ABSTRACTLY,abstractly,abstraktly,,अनमने भाव से
ABSTRACTOR,abstractor,abstraktor,,संक्षेपकर्ता
ABSTRUSE,abstruse,abstruse,,कठिन
ABSTRUSENESS,abstruseness,abstruseness,,अस्पष्टता
ABSTRUSITY,abstrusity,abstrusity,,गहनता
ABSURD,absurd,absurd,,असंगत
ABSURDITY,absurdity,absurdity,,अनर्थकता
ABSURDLY,absurdly,absurdly,,बेतुके रूप से
ABSURDNESS,absurdness,absurdness,,असंगतिअ
ABSURDPUTRID,absurdputrid,absurdputrid,,तुच्‍छ
ABSYMALLY,absymally,absymally,,बहुत ही भद्दे ढंग से
ABUJA,abuza,abuza,,अबूजा
ABUKIR,abukir,abukir,,अबूकीर
ABULIA,abulia,abulia,,इच्छादौर्बल्य
ABULIC,abulic,abulik,,इच्छादौर्बल्यग्रस्त
ABUNDANCE,abundance,abundanse,,अधिकता
ABUNDANT,abundant,abundant,,प्रचुर
ABUNDANTLY,abundantly,abundantly,,अधिक मात्रा में
ABUSE,abuse,abuse,,अधिक दुरुपयोग
ABUSED,abused,abused,,अपप्रयुक्त
ABUSER,abuser,abusxr,,गाली देने वाला
ABUSIVE,abusiwe,abusiwe,,अत्याचारपूर्ण
ABUSIVELY,abusiwely,abusiwely,,अनुचित ढंग से
ABUT,abut,abut,,लगा हुआ होना
ABUTMENT,abutment,abutment,,जोड़
ABUTTER,abutter,abuttxr,,संसक्त स्वामी
ABUTTING,abutting,abutting,,जुड़ा हुआ
ABUZZ,abuzz,abuzz,,गुंजायमान
ABVOLT,abwolt,abwolt,,ऐबवोल्ट
ABY,aby,aby,,क्षतिपूर्ति करना
ABYDOS,abydos,abydos,,अबाइडौस
ABYE,abye,abye,,क्षतिपूर्ति करना
ABYSM,abysm,abysm,,अगाध गर्त
ABYSMAL,abysmal,abysmal,,अगाध
ABYSMALLY,abysmally,abysmally,,बहुत ही भद्दा
ABYSS,abyss,abyss,,गहरी खाई
ABYSSAL,abyssal,abyssal,,अथाह
ABYSSINIA,abyssinia,abyssinia,,अबिसीनिया
ABYSSINIAN,abyssinian,abyssinian,,अबिसीनियाई
AC,ac,ak,,एसीई
ACACIA,acacia,akasia,,अकेशिया
ACADEME,academe,akademe,,शिक्षा जगत
ACADEMIA,academia,akademia,,शिक्षा या शोध का क्षेत्र
ACADEMIC,academic,akademik,,अकादमिक
ACADEMICALLY,academically,akademikally,,शैक्षणिक दृष्टि से
ACADEMICIAN,academician,akademisian,,अकादमी सदस्य
ACADEMICIANSHIP,academicianship,akademisianship,,अकादमी सदस्यता
ACADEMICISM,academicism,akademisism,,शास्त्रीय रूढ़िवादिता
ACADEMISM,academism,akademism,,शास्त्रीय रूढ़िवादिता
ACADEMY,academy,akademy,,अकादमी
ACADIA,acadia,akadia,,अकेडिया
ACADIAN,acadian,akadian,,अकेडियाई
ACANTHA,acantha,akantha,,गाँठ
ACANTHOCYTE,acanthocyte,akanthosite,,काँटेदार लाल रक्त कोशिका
ACANTHOCYTOSIS,acanthocytosis,akanthositosis,,अकेंथोसाइटोसिस
ACANTHOID,acanthoid,akanthoid,,काँटे के आकार का
ACANTHOLYSIS,acantholysis,akantholysis,,अकेंथोलाइसिस
ACANTHOMA,acanthoma,akanthoma,,त्वचा अर्बुद
ACANTHOSIS,acanthosis,akanthosis,,अकेंथोसिस
ACANTHOTIC,acanthotic,akanthotik,,अकेंथोसिसग्रस्त
ACANTHOUS,acanthous,akanthous,,काँटे के आकार का
ACAPNIA,acapnia,akapnia,,अकैप्निया
ACAPNIAL,acapnial,akapnial,,अकैप्निया संबंधी
ACAPNIC,acapnic,akapnik,,अकैप्निया संबंधी
ACAPNOTIC,acapnotic,akapnotik,,अकैप्निया संबंधी
ACAPULCO,acapulco,akapulko,,अकैपुल्को
ACARACIDE,acaracide,akaraside,,कुटकीनाशक
ACARDIA,acardia,akardia,,अहृदयता
ACARDIAC,acardiac,akardiak,,अहृदय
ACARIASIS,acariasis,akariasis,,कुटकी रोग
ACARICIDE,acaricide,akariside,,कुटकीनाशक
ACARIDIASIS,acaridiasis,akaridiasis,,कुटकी रोग
ACARIOSIS,acariosis,akariosis,,कुटकी रोग
ACAROPHOBIA,acarophobia,akarophobia,,कीटभीति
ACARPELLOUS,acarpellous,akarpellous,,अंडपहीन
ACARPELOUS,acarpelous,akarpelous,,अंडपहीन
ACARPOUS,acarpous,akarpous,,फलहीन
ACAS,acas,akas,,ऐकास
ACATALECTIC,acatalectic,akatalektik,,पूर्णपदी
ACATAPHASIA,acataphasia,akataphasia,,असंबद्धवाक्
ACATHEXIA,acathexia,akathexia,,धारण अक्षमता
ACATHEXIS,acathexis,akathexis,,अकैथेक्सिस
ACAUDAL,acaudal,akaudal,,पुच्छविहीन
ACAUDATE,acaudate,akaudate,,पुच्छविहीन
ACAULESCENT,acaulescent,akaulessent,,तनारहित
ACC,acc,akk,,ए सी सी
ACCEDE,accede,aksede,,कार्यभार ग्रहण करना
ACCELERANDO,accelerando,akselxrando,,उत्तरोत्तरत्वरित
ACCELERATE,accelerate,akselxrate,,गति बढ़ाना
ACCELERATED,accelerated,akselxrated,,त्वरित
ACCELERATING,accelerating,akselxrating,,त्वरणशील
ACCELERATION,acceleration,akselxration,,गति वर्धन
ACCELERATIVE,acceleratiwe,akselxratiwe,,त्वरायिक
ACCELERATOR,accelerator,akselxrator,,उत्प्रेरक
ACCELERATORY,acceleratory,akselxratory,,त्वरायिक
ACCELEROMETER,accelerometer,akselxrometxr,,त्वरामापी
ACCENT,accent,aksent,,अल्पबालाघत
ACCENTED,accented,aksented,,बलाघातयुक्त
ACCENTING,accenting,aksenting,,ज़ोर
ACCENTOR,accentor,aksentor,,एक्सेंटर
ACCENTUAL,accentual,aksentual,,बलाघातित
ACCENTUATE,accentuate,aksentuate,,अधिक सुस्पष्ट करना
ACCENTUATION,accentuation,aksentuation,,ज़ोर
ACCEPT,accept,aksept,,उठाना
ACCEPTABILITY,acceptability,akseptability,,ग्राह्यता
ACCEPTABLE,acceptable,akseptable,,अनुकूल
ACCEPTABLENESS,acceptableness,akseptableness,,ग्राह्यता
ACCEPTABLILITY,acceptablility,akseptablility,,स्वीकार्यता
ACCEPTABLY,acceptably,akseptably,,ठीक ठाक
ACCEPTANCE,acceptance,akseptanse,,अंगीकरण
ACCEPTANT,acceptant,akseptant,,ग्रहण करने वाला
ACCEPTATION,acceptation,akseptation,,रूढ़ार्थ
ACCEPTED,accepted,aksepted,,अंगीकृत
ACCEPTING,accepting,aksepting,,बर्दाश्त करने वाला
ACCEPTIVE,acceptiwe,akseptiwe,,ग्रहण करने वाला
ACCEPTOR,acceptor,akseptor,,सकारक
ACCESS,access,aksess,,अभिगम्यता
ACCESSARY,accessary,aksessary,,अतिरिक्त वस्तु
ACCESSIBILITY,accessibility,aksessibility,,उपलब्धता
ACCESSIBLE,accessible,aksessible,,अभिगम्य
ACCESSION,accession,aksession,,अनुवृद्धि
ACCESSIONAL,accessional,aksessional,,प्रवेशाधिकार संबंधी
ACCESSORIAL,accessorial,aksessorial,,अतिरिक्त
ACCESSORY,accessory,aksessory,,अतिरिक्त उपस्कर
ACCHIEVEMENT,acchixwxment,akcixwxment,,सफलता
ACCHO,accho,akco,,ऐको
ACCIACCATURA,acciaccatura,aksiakkatura,,अनुग्रह टिप्पणी
ACCIDENCE,accidence,aksidense,,शब्दनुशासन
ACCIDENT,accident,aksident,,अप्रत्याशित घटना
ACCIDENTAL,accidental,aksidental,,अप्रत्याशित
ACCIDENTALLY,accidentally,aksidentally,,अचानक ही
ACCIPITRINE,accipitrine,aksipitrine,,बाज संबंधी
ACCLAIM,acclaim,akklaim,,अनुमोदन
ACCLAMATION,acclamation,akklamation,,अभिनंदन
ACCLIMATE,acclimate,akklimate,,आदी होना
ACCLIMATION,acclimation,akklimation,,पर्यनुकूलन
ACCLIMATISATION,acclimatisation,akklimatisation,,पर्यनुकूलन
ACCLIMATISE,acclimatise,akklimatise,,आदी होना
ACCLIMATIZATION,acclimatization,akklimatization,,पर्यनुकूलन
ACCLIMATIZE,acclimatize,akklimatize,,आदी होना
ACCLIVITOUS,accliwitous,akkliwitous,,आरोही
ACCLIVITY,accliwity,akkliwity,,चढ़ाई
ACCOLADE,accolade,akkolade,,आलिंगन
ACCOMMODATE,accommodate,akkommodate,,अनुकूल बनाना
ACCOMMODATING,accommodating,akkommodating,,समंजक
ACCOMMODATINGLY,accommodatingly,akkommodatingly,,अनुग्राही ढंग से
ACCOMMODATION,accommodation,akkommodation,,अनुकूलन
ACCOMMODATIONAL,accommodational,akkommodational,,समंजन संबंधी
ACCOMMODATIONS,accommodations,akkommodations,,आवास
ACCOMMODATIVE,accommodatiwe,akkommodatiwe,,समंजनशील
ACCOMMODATOR,accommodator,akkommodator,,अनुग्रहकर्ता
ACCOMODATING,accomodating,akkomodating,,अनुग्रहकारी
ACCOMODATION,accomodation,akkomodation,,सामंजस्य
ACCOMPANIED,accompanied,akkompanied,,के संग
ADENOMYOSARCOMA,adenomyosarcoma,adenomyosarkoma,,ऐडिनोमायोसर्कोमा
ADEPT,adept,adept,,दक्ष
ADEQUACY,adekuacy,adekuasi,,उपयुक्तता
ADEQUATE,adekuate,adekuate,,काफी
ADEQUATELY,adekuately,adekuately,,पर्याप्त रूप में
ADHAN,adhan,adhan,,अज़ान
ADHERE,adhere,adhxre,,चिपक जाना
ADHERENCE,adherence,adhxrense,,अनुशक्ति
ADHERENT,adherent,adhxrent,,अनुयायी
ADHESION,adhesion,adhesion,,अवलम्ब
ADHESIVE,adhesiwe,adhesiwe,,आसंजक
ADIEU,adieu,adieu,,अल्विदा
ADIOS,adios,adios,,अल्विदा
ADIPOSIS,adiposis,adiposis,,मोटापा
ADJACENT,adzacent,adzasent,,जुड़ा हुआ
ADJECTIVAL,adzectiwal,adzektiwal,,विशेषण संबंधी
ADJECTIVALLY,adzectiwally,adzektiwally,,विशेषण के रुप मे प्रयोग किया हुआ
ADJECTIVE,adzectiwe,adzektiwe,,विशेषण संबंधी
ADJOIN,adzoin,adzoin,,जोड़ देना
ADJOINING,adzoining,adzoining,,अव्यवहित
ADJOINT,adzoint,adzoint,,अभिसम्युक्त
ADJOURN,adzourn,adzourn,,कुछ समय के लिए रोकना
ADJOURNMENT,adzournment,adzournment,,अवकाश
ADJUDGE,adzudge,adzudge,,घोषित करना
ADJUDICATE,adzudicate,adzudikate,,निर्णय करना
ADJUDICATION,adzudication,adzudikation,,अधिनिर्णयअ
ADJUDICATOR,adzudicator,adzudikator,,अधिनिर्णायक
ADJUNCT,adzunct,adzunkt,,अनुबंध
ADJURE,adzure,adzure,,अनुरोध करना
ADJUST,adzust,adzust,,अनुकूल बनाना
ADJUSTABLE,adzustable,adzustable,,ठीक करने योग्य
ADJUSTMENT,adzustment,adzustment,,1. फैसला
ADJUTANT,adzutant,adzutant,,चमरघेंघ
ADJUVANT,adzuwant,adzuwant,,सहायक
ADMAN,adman,adman,,विज्ञापक
ADMIN,admin,admin,,प्रशासन
ADMINISTER,administer,administxr,,करना
ADMINISTRATION,administration,administration,,दवा देना
ADMINISTRATIVE,administratiwe,administratiwe,,प्रशासकीय
ADMINISTRATIVELY,administratiwely,administratiwely,,प्रशसनिकता से
ADMINISTRATOR,administrator,administrator,,प्रबंधक
ADMIRABILITY,admirability,admirability,,प्रशंसनीयता
ADMIRABLE,admirable,admirable,,उत्कृष्ट
ADMIRABLENESS,admirableness,admirableness,,प्रशंसनीयता
ADMIRABLY,admirably,admirably,,उत्तम रीति से
ADMIRAL,admiral,admiral,,एडमिरल
ADMIRALITY,admirality,admirality,,नावाधिकरण
ADMIRALTY,admiralty,admiralty,,नावाधिपति पद
ADMIRATION,admiration,admiration,,आभार
ADMIRE,admire,admire,,तारीफ
ADMIRED,admired,admired,,प्रशंसित
ADMIRER,admirer,admirxr,,प्रशंसक
ADMIRING,admiring,admiring,,प्रशंसा युक्त
ADMIRINGLY,admiringly,admiringly,,प्रशंसापूर्ण ढंग से
