e52	e23	x38	xv38	vinqi	vinqi_fonetik	pnzabi	xp38	guzraji	xg38	bNgali	xb38
achievement	achiewement	xciwment	uplbQi	उपलब्धि	अचीवमेंट	উপলব্ধি	uplbQi	উপলব্ধি	uplbQi		
acid	acid	esid	Ktta	खट्टा	एसिड	খট্টা	Ktta	খট্টা	Ktta		
acknowledge	acknowledge	eknalez	swikar krna	स्वीकार करना	एकनॉलेज	স্঵ীকার করনা	swikar krna	স্঵ীকার করনা	swikar krna		
acquire	ackuire	ekwayr	xQigrvn krna	अधिग्रहण करना	एक्वायर	অধিগ্রহণ করনা	xQigrvn krna	অধিগ্রহণ করনা	xQigrvn krna		
across	across	xkras	xar–par	आर–पार	अक्रॉस	আর–পার	xar–par	আর–পার	xar–par		
act	act	ekt	karywavi krna	कार्यवाही करना	एक्ट	কার্য঵াহী করনা	karywavi krna	কার্য঵াহী করনা	karywavi krna		
action	action	ekSn	Bndar	भण्डार	एक्शन	ভণ্ডার	Bndar	ভণ্ডার	Bndar		
active	actiwe	ektiw	skriy	सक्रिय	एक्टिव	সক্রিয	skriy	সক্রিয	skriy		
activist	actiwist	ektiwist	karykrja	कार्यकर्ता	एक्टिविस्ट	কার্যকর্তা	karykrja	কার্যকর্তা	karykrja		
activity	actiwity	ektiwiti	gjiwiQi	गतिविधि	एक्टिविटी	গতি঵িধি	gjiwiQi	গতি঵িধি	gjiwiQi		
actor	actor	ektr	xBineja	अभिनेता	एक्टर	অভিনেতা	xBineja	অভিনেতা	xBineja		
actress	actress	ektres	xBinejri	अभिनेत्री	एक्ट्रेस	অভিনেত্রী	xBinejri	অভিনেত্রী	xBinejri		
actual	actual	ekcuxl	wrjman	वर्तमान	एक्चुअल	঵র্তমান	wrjman	঵র্তমান	wrjman		
actually	actually	ekcuxli	wasjw me	वास्तव में	एक्चुअली	঵াস্ত঵ মেং	wasjw me	঵াস্ত঵ মেং	wasjw me		
ad	ad	xड़	wigyapn	विज्ञापन	अड़	঵িজ্ঞাপন	wigyapn	঵িজ্ঞাপন	wigyapn		
adapt	adapt	edapt	xnukul bnana	अनुकूल बनाना	एडाप्ट	অনুকূল বনানা	xnukul bnana	অনুকূল বনানা	xnukul bnana		
add	add	ed	zoRe	जोड़ें	ऐड	জোড়েং	zoRe	জোড়েং	zoRe		
addition	addition	xqqijio	yog	योग	अद्दितीओं	যোগ	yog	যোগ	yog		
additional	additional	ediSnl	xjirikj	अतिरिक्त	एडिशनल	অতিরিক্ত	xjirikj	অতিরিক্ত	xjirikj		
address	address	edres	pja	पता	एड्रेस	পতা	pja	পতা	pja		
adequate	adekuate	aqkje	pryapj	पर्याप्त	ादकते	পর্যাপ্ত	pryapj	পর্যাপ্ত	pryapj		
adjust	adzust	edzst	smayozij krna	समायोजित करना	एडजस्ट	সমাযোজিত করনা	smayozij krna	সমাযোজিত করনা	smayozij krna		
adjustment	adzustment	edzstment	smayozn	समायोजन	एडजस्टमेंट	সমাযোজন	smayozn	সমাযোজন	smayozn		
administration	administration	edministreSn	prSasn	प्रशासन	एडमिनिस्ट्रेशन	প্রশাসন	prSasn	প্রশাসন	prSasn		
administrator	administrator	edministretr	prSask	प्रशासक	एडमिनिस्ट्रेटर	প্রশাসক	prSask	প্রশাসক	prSask		
admire	admire	xqmire	prSnsa krna	प्रशंसा करना	अदमीरे	প্রশংসা করনা	prSnsa krna	প্রশংসা করনা	prSnsa krna		
admission	admission	edmiSn	prweS	प्रवेश	एडमिशन	প্র঵েশ	prweS	প্র঵েশ	prweS		
admit	admit	edmit	swikar kiya	स्वीकार किया	एडमिट	স্঵ীকার কিযা	swikar kiya	স্঵ীকার কিযা	swikar kiya		
adolescent	adolescent	edolsent	kiSor	किशोर	एडोलसेंट	কিশোর	kiSor	কিশোর	kiSor		
adopt	adopt	xdapt	muv boli bvn	मुह बोली बहन	अडॉप्ट	মুহ বোলী বহন	muv boli bvn	মুহ বোলী বহন	muv boli bvn		
adult	adult	edlt	wysk	वयस्क	एडल्ट	঵যস্ক	wysk	঵যস্ক	wysk		
advance	adwance	edwans	xage	आगे	एडवांस	আগে	xage	আগে	xage		
advanced	adwanced	edwansd	wiksij	विकसित	एडवांस्ड	঵িকসিত	wiksij	঵িকসিত	wiksij		
advantage	adwantage	edwantez	fayqa	फायदा	एडवांटेज	ফাযদা	fayqa	ফাযদা	fayqa		
adventure	adwenture	edwencr	savsik kam	साहसिक काम	एडवेंचर	সাহসিক কাম	savsik kam	সাহসিক কাম	savsik kam		
advertising	adwertising	edwrtaiziNg	wigyapn qena	विज्ञापन देना	एडवरटाइजिंग	঵িজ্ঞাপন দেনা	wigyapn qena	঵িজ্ঞাপন দেনা	wigyapn qena		
advice	adwice	edwais	slav	सलाह	एडवाइस	সলাহ	slav	সলাহ	slav		
advise	adwise	xdwise	slav qena	सलाह देना	अडवीसे	সলাহ দেনা	slav qena	সলাহ দেনা	slav qena		
adviser	adwiser	xqwiser	slavkar	सलाहकार	अद्विसेर	সলাহকার	slavkar	সলাহকার	slavkar		
advocate	adwocate	xQiwkja	wkil	वकील	अधिवक्ता	঵কীল	wkil	঵কীল	wkil		
affair	affair	xfeyr	ckkr	चक्कर	अफेयर	চক্কর	ckkr	চক্কর	ckkr		
affect	affect	efekt	prBawij krna	प्रभावित करना	एफेक्ट	প্রভা঵িত করনা	prBawij krna	প্রভা঵িত করনা	prBawij krna		
afford	afford	xफ़ford	Krc wvn krna	खर्च वहन करना	अफ़्फोर्ड	খর্চ ঵হন করনা	Krc wvn krna	খর্চ ঵হন করনা	Krc wvn krna		
afraid	afraid	xfred	dra vuxa	डरा हुआ	अफ्रेड	ডরা হুআ	dra vuxa	ডরা হুআ	dra vuxa		
african	african	xfrikn	xfriki	अफ़्रीकी	अफ्रीकन	অফ়্রীকী	xfriki	অফ়্রীকী	xfriki		
african-american	african-american	xfrikn-xmerikn	xfriki xmeriki	अफ्रीकी अमेरिकी	अफ्रीकन-अमेरिकन	অফ্রীকী অমেরিকী	xfriki xmeriki	অফ্রীকী অমেরিকী	xfriki xmeriki		
after	after	xaftr	baq me	बाद में	आफ्टर	বাদ মেং	baq me	বাদ মেং	baq me		
afternoon	afternoon	xaftrnun	qopvr baq	दोपहर बाद	आफ्टरनून	দোপহর বাদ	qopvr baq	দোপহর বাদ	qopvr baq		
again	again	xgen	fir se	फिर से	अगेन	ফির সে	fir se	ফির সে	fir se		
against	against	xgenst	ke Kilaf	के खिलाफ	अगेंस्ट	কে খিলাফ	ke Kilaf	কে খিলাফ	ke Kilaf		
age	age	xage	xayu	आयु	आगे	আযু	xayu	আযু	xayu		
agency	agency	ezensi	ezensi	एजेंसी	एजेंसी	এজেংসী	ezensi	এজেংসী	ezensi		
agenda	agenda	ezenda	dayri	डायरी	एजेंडा	ডাযরী	dayri	ডাযরী	dayri		
agent	agent	ezent	prjiniQi	प्रतिनिधि	एजेंट	প্রতিনিধি	prjiniQi	প্রতিনিধি	prjiniQi		
aggressive	aggressiwe	egresiw	xakramk	आक्रामक	एग्रेसिव	আক্রামক	xakramk	আক্রামক	xakramk		
ago	ago	ego	pvle	पहले	एगो	পহলে	pvle	পহলে	pvle		
agree	agree	egri	svmj vona	सहमत होना	एग्री	সহমত হোনা	svmj vona	সহমত হোনা	svmj vona		
agreement	agreement	egriment	smZouja	समझौता	एग्रीमेंट	সমঝৌতা	smZouja	সমঝৌতা	smZouja		
agricultural	agricultural	egriklcrl	krsi	कृषि	एग्रीकल्चरल	কৃষি	krsi	কৃষি	krsi		
ah	ah	yv	eec	एएच	यह	এএচ	eec	এএচ	eec		
ahead	ahead	xved	xage	आगे	अहेड	আগে	xage	আগে	xage		
aid	aid	xiQ	mqq krja vxi	मदद करता है	अिध	মদদ করতা হৈ	mqq krja vxi	মদদ করতা হৈ	mqq krja vxi		
aide	aide	xaide	svayja	सहायता	आइडे	সহাযতা	svayja	সহাযতা	svayja		
aids	aids	eds	eds	एड्स	एड्स	এড্স	eds	এড্স	eds		
aim	aim	exaiem	pyar	प्यार	एआईएम	প্যার	pyar	প্যার	pyar		
air	air	eyr	wayu	वायु	एयर	঵াযু	wayu	঵াযু	wayu		
aircraft	aircraft	eyrkraft	vwai zvaz	हवाई जहाज	एयरक्राफ्ट	হ঵াঈ জহাজ	vwai zvaz	হ঵াঈ জহাজ	vwai zvaz		
airline	airline	eyrlain	eyrlain	एयरलाइन	एयरलाइन	এযরলাইন	eyrlain	এযরলাইন	eyrlain		
airport	airport	eyrport	vwai xdda	हवाई अड्डा	एयरपोर्ट	হ঵াঈ অড্ডা	vwai xdda	হ঵াঈ অড্ডা	vwai xdda		
album	album	elbm	elbm	एल्बम	एल्बम	এল্বম	elbm	এল্বম	elbm		
alcohol	alcohol	xlkovl	Srab pina	शराब पीना	अल्कोहल	শরাব পীনা	Srab pina	শরাব পীনা	Srab pina		
alive	aliwe	xlaiw	ziwij	जीवित	अलाइव	জী঵িত	ziwij	জী঵িত	ziwij		
all	all	xal	sb	सब	आल	সব	sb	সব	sb		
alliance	alliance	xlayns	snQi	संधि	अलायन्स	সংধি	snQi	সংধি	snQi		
allow	allow	xllow	xnumji	अनुमति	अल्लोव	অনুমতি	xnumji	অনুমতি	xnumji		
ally	ally	xlly	mijr	मित्र	अल्ल्य	মিত্র	mijr	মিত্র	mijr		
almost	almost	aolmost	lgBg	लगभग	ऑलमोस्ट	লগভগ	lgBg	লগভগ	lgBg		
alone	alone	xlon	xkela	अकेला	अलोन	অকেলা	xkela	অকেলা	xkela		
along	along	xloNg	saJ–saJ	साथ–साथ	अलोंग	সাথ–সাথ	saJ–saJ	সাথ–সাথ	saJ–saJ		
already	already	xalredi	pvle se vi	पहले से ही	आलरेडी	পহলে সে হী	pvle se vi	পহলে সে হী	pvle se vi		
also	also	xalso	Bi	भी	आल्सो	ভী	Bi	ভী	Bi		
alter	alter	xaltr	ekanjr	एकांतर	आल्टर	একাংতর	ekanjr	একাংতর	ekanjr		
alternative	alternatiwe	xltrnetiw	wiklp	विकल्प	अल्टरनेटिव	঵িকল্প	wiklp	঵িকল্প	wiklp		
although	although	xlJouG	yqypi	यद्यपि	अल्थौघ	যদ্যপি	yqypi	যদ্যপি	yqypi		
always	always	aolwez	vmeSa	हमेशा	ऑलवेज	হমেশা	vmeSa	হমেশা	vmeSa		
am	am	ऍm	purwavn	पूर्वाह्न	ऍम	পূর্঵াহ্ন	purwavn	পূর্঵াহ্ন	purwavn		
amazing	amazing	xmeziNg	bvuj bRiya	बहुत बढ़िया	अमेजिंग	বহুত বঢ়িযা	bvuj bRiya	বহুত বঢ়িযা	bvuj bRiya		
american	american	xmerikn	xmerikn	अमेरिकन	अमेरिकन	অমেরিকন	xmerikn	অমেরিকন	xmerikn		
among	among	xmNg	ke bic	के बीच	अमंग	কে বীচ	ke bic	কে বীচ	ke bic		
amount	amount	xmaunt	rkm	रकम	अमाउंट	রকম	rkm	রকম	rkm		
analysis	analysis	enalisis	wiSlesn	विश्लेषण	एनालिसिस	঵িশ্লেষণ	wiSlesn	঵িশ্লেষণ	wiSlesn		
analyst	analyst	enalist	wiSlesk	विश्लेषक	एनालिस्ट	঵িশ্লেষক	wiSlesk	঵িশ্লেষক	wiSlesk		
analyze	analyze	enalaiz	wiSlesn	विश्लेषण	एनालाइज	঵িশ্লেষণ	wiSlesn	঵িশ্লেষণ	wiSlesn		
ancient	ancient	xnsient	pracin	प्राचीन	अन्सिएंट	প্রাচীন	pracin	প্রাচীন	pracin		
and	and	end	jJa	तथा	एंड	তথা	jJa	তথা	jJa		
anger	anger	eNgr	qewquj	देवदूत	एंगर	দে঵দূত	qewquj	দে঵দূত	qewquj		
angle	angle	eNgl	kon	कोण	एंगल	কোণ	kon	কোণ	kon		
angry	angry	eNgri	naraz	नाराज़	एंग्री	নারাজ়	naraz	নারাজ়	naraz		
animal	animal	eniml	zanwr	जानवर	एनिमल	জান঵র	zanwr	জান঵র	zanwr		
anniversary	anniwersary	eniwrsri	salgirv	सालगिरह	एनिवर्सरी	সালগিরহ	salgirv	সালগিরহ	salgirv		
announce	announce	xnnouns	ki Gosna	की घोषणा	अन्नोउंस	কী ঘোষণা	ki Gosna	কী ঘোষণা	ki Gosna		
annual	annual	enuxl	salana	सालाना	एनुअल	সালানা	salana	সালানা	salana		
another	another	anoJer	qusra	दूसरा	ानोथेर	দূসরা	qusra	দূসরা	qusra		
answer	answer	xansr	zwab	जवाब	आंसर	জ঵াব	zwab	জ঵াব	zwab		
anticipate	anticipate	anjikipje	purwanuman krna	पूर्वानुमान करना	ांतिकिपते	পূর্঵ানুমান করনা	purwanuman krna	পূর্঵ানুমান করনা	purwanuman krna		
anxiety	anxiety	eNgzayti	cinja	चिंता	एंग्जायटी	চিংতা	cinja	চিংতা	cinja		
any	any	xny	koi	कोई	अन्य	কোঈ	koi	কোঈ	koi		
anybody	anybody	xnyboqy	koi	कोई	अन्य्बोद्य	কোঈ	koi	কোঈ	koi		
anymore	anymore	enimor	iske baq	इसके बाद	एनीमोर	ইসকে বাদ	iske baq	ইসকে বাদ	iske baq		
anyone	anyone	eniwn	kisi ko	किसी को	एनीवन	কিসী কো	kisi ko	কিসী কো	kisi ko		
anything	anything	eniJiNg	kuC Bi	कुछ भी	एनीथिंग	কুছ ভী	kuC Bi	কুছ ভী	kuC Bi		
anyway	anyway	eniwe	wxise Bi	वैसे भी	एनीवे	঵ৈসে ভী	wxise Bi	঵ৈসে ভী	wxise Bi		
anywhere	anywhere	eniweyr	kvi Bi	कहीं भी	एनीवेयर	কহীং ভী	kvi Bi	কহীং ভী	kvi Bi		
apart	apart	xpart	xlg	अलग	अपार्ट	অলগ	xlg	অলগ	xlg		
apartment	apartment	xpartment	xpartment	अपार्टमेंट	अपार्टमेंट	অপার্টমেংট	xpartment	অপার্টমেংট	xpartment		
apparent	apparent	xapprent	prkt	प्रकट	आपपरेंट	প্রকট	prkt	প্রকট	prkt		
apparently	apparently	xapprentli	zavira jour pr	जाहिरा तौर पर	आपपरेंटली	জাহিরা তৌর পর	zavira jour pr	জাহিরা তৌর পর	zavira jour pr		
appeal	appeal	xpil	xpil krna	अपील करना	अपील	অপীল করনা	xpil krna	অপীল করনা	xpil krna		
appear	appear	xppexr	ke zxisa lgna	के जैसा लगना	अप्पेअर	কে জৈসা লগনা	ke zxisa lgna	কে জৈসা লগনা	ke zxisa lgna		
appearance	appearance	xpiyrens	qiKawt	दिखावट	अपीयरेंस	দিখা঵ট	qiKawt	দিখা঵ট	qiKawt		
apple	apple	eppl	seb	सेब	एप्पल	সেব	seb	সেব	seb		
application	application	eplikeSn	xaweqn pjr	आवेदन पत्र	एप्लीकेशन	আ঵েদন পত্র	xaweqn pjr	আ঵েদন পত্র	xaweqn pjr		
apply	apply	xplai	lagu	लागू	अप्लाई	লাগূ	lagu	লাগূ	lagu		
appoint	appoint	xppoint	xjirikj	अतिरिक्त	अप्पोइंट	অতিরিক্ত	xjirikj	অতিরিক্ত	xjirikj		
appointment	appointment	xpaintment	niyukji	नियुक्ति	अपॉइंटमेंट	নিযুক্তি	niyukji	নিযুক্তি	niyukji		
appreciate	appreciate	xppresiyje	sravna	सराहना	अप्प्रेसियते	সরাহনা	sravna	সরাহনা	sravna		
approach	approach	eproc	qrstikon	दृष्टिकोण	एप्रोच	দৃষ্টিকোণ	qrstikon	দৃষ্টিকোণ	qrstikon		
appropriate	appropriate	epropriyet	ucij	उचित	एप्रोप्रियेट	উচিত	ucij	উচিত	ucij		
approval	approwal	xpruwl	xnumoqn	अनुमोदन	अप्रूवल	অনুমোদন	xnumoqn	অনুমোদন	xnumoqn		
approve	approwe	xpprowe	mnzur	मंजूर	अप्प्रोवे	মংজূর	mnzur	মংজূর	mnzur		
approximately	approximately	xpproksimateli	xnqazn	अंदाज़न	अप्प्रोक्सिमाटेली	অংদাজ়ন	xnqazn	অংদাজ়ন	xnqazn		
arab	arab	xrb	xrbi	अरबी	अरब	অরবী	xrbi	অরবী	xrbi		
architect	architect	xarkitekt	xarkitekt	आर्किटेक्ट	आर्किटेक्ट	আর্কিটেক্ট	xarkitekt	আর্কিটেক্ট	xarkitekt		
area	area	eriya	Sejr	क्षेत्र	एरिया	ক্ষেত্র	Sejr	ক্ষেত্র	Sejr		
argue	argue	xage	bvs krna	बहस करना	आगे	বহস করনা	bvs krna	বহস করনা	bvs krna		
argument	argument	xargument	bvs	बहस	आर्गुमेंट	বহস	bvs	বহস	bvs		
arise	arise	xrse	uTna	उठना	अरसे	উঠনা	uTna	উঠনা	uTna		
arm	arm	exaryem	vJiyaro	हथियारों	एआरएम	হথিযারোং	vJiyaro	হথিযারোং	vJiyaro		
armed	armed	xarmd	vJiyarbnq	हथियारबंद	आर्म्ड	হথিযারবংদ	vJiyarbnq	হথিযারবংদ	vJiyarbnq		
army	army	xarmi	sena	सेना	आर्मी	সেনা	sena	সেনা	sena		
around	around	xraund	caro or	चारों ओर	अराउंड	চারোং ওর	caro or	চারোং ওর	caro or		
arrange	arrange	xrrNge	wywsJij krna	व्यवस्थित करना	अर्रंगे	঵্য঵স্থিত করনা	wywsJij krna	঵্য঵স্থিত করনা	wywsJij krna		
arrangement	arrangement	xrenzment	wywsJa	व्यवस्था	अरेंजमेंट	঵্য঵স্থা	wywsJa	঵্য঵স্থা	wywsJa		
arrest	arrest	xrest	girfjar krna	गिरफ़्तार करना	अरेस्ट	গিরফ়্তার করনা	girfjar krna	গিরফ়্তার করনা	girfjar krna		
arrival	arriwal	xrriwal	xagmn	आगमन	अर्रिवाल	আগমন	xagmn	আগমন	xagmn		
arrive	arriwe	xrriwe	pvunc gye	पहुंच गए	अर्रिवे	পহুংচ গএ	pvunc gye	পহুংচ গএ	pvunc gye		
art	art	xart	kla	कला	आर्ट	কলা	kla	কলা	kla		
article	article	xartikl	leK	लेख	आर्टिकल	লেখ	leK	লেখ	leK		
artist	artist	xartist	klakar	कलाकार	आर्टिस्ट	কলাকার	klakar	কলাকার	klakar		
artistic	artistic	xartistik	klajmk	कलात्मक	आर्टिस्टिक	কলাত্মক	klajmk	কলাত্মক	klajmk		
as	as	xs	es	ऐस	अस	ঐস	es	ঐস	es		
asian	asian	eSiyai	eSiyai	एशियाई	एशियाई	এশিযাঈ	eSiyai	এশিযাঈ	eSiyai		
aside	aside	xasiqe	xlg	अलग	आसीदे	অলগ	xlg	অলগ	xlg		
ask	ask	xask	puCna	पूछना	आस्क	পূছনা	puCna	পূছনা	puCna		
asleep	asleep	xslip	sona	सोना	अस्लीप	সোনা	sona	সোনা	sona		
aspect	aspect	xaspekt	pvlu	पहलू	आस्पेक्ट	পহলূ	pvlu	পহলূ	pvlu		
assault	assault	xsalt	vmla	हमला	असाल्ट	হমলা	vmla	হমলা	vmla		
assert	assert	xssert	zor	ज़ोर	अस्सेर्ट	জ়োর	zor	জ়োর	zor		
assess	assess	xssess	xakln	आकलन	अस्सेस्स	আকলন	xakln	আকলন	xakln		
assessment	assessment	xsesment	mulyaNkn	मूल्यांकन	असेसमेंट	মূল্যাংকন	mulyaNkn	মূল্যাংকন	mulyaNkn		
asset	asset	eset	smpjji	संपत्ति	एसेट	সংপত্তি	smpjji	সংপত্তি	smpjji		
assign	assign	xsain	soumpna	सौंपना	असाइन	সৌংপনা	soumpna	সৌংপনা	soumpna		
assignment	assignment	xsainment	karyBar	कार्यभार	असाइनमेंट	কার্যভার	karyBar	কার্যভার	karyBar		
assist	assist	xsist	svayja qena	सहायता देना	असिस्ट	সহাযতা দেনা	svayja qena	সহাযতা দেনা	svayja qena		
assistance	assistance	xsistens	svayja	सहायता	असिस्टेंस	সহাযতা	svayja	সহাযতা	svayja		
assistant	assistant	xsistent	svayk	सहायक	असिस्टेंट	সহাযক	svayk	সহাযক	svayk		
associate	associate	esosiet	smbnqQ krna	संबंद्ध करना	एसोसिएट	সংবংদ্ধ করনা	smbnqQ krna	সংবংদ্ধ করনা	smbnqQ krna		
association	association	esosieSn	sNgTn	संगठन	एसोसिएशन	সংগঠন	sNgTn	সংগঠন	sNgTn		
assume	assume	asume	man lena	मान लेना	ासुमे	মান লেনা	man lena	মান লেনা	man lena		
assumption	assumption	xasumptio	klpna	कल्पना	आसुमप्टीओं	কল্পনা	klpna	কল্পনা	klpna		
assure	assure	xsure	suniScij	सुनिश्चित	असुरे	সুনিশ্চিত	suniScij	সুনিশ্চিত	suniScij		
at	at	aj	kiya	किया	ात	কিযা	kiya	কিযা	kiya		
athlete	athlete	eJlit	Qawk	धावक	एथलिट	ধা঵ক	Qawk	ধা঵ক	Qawk		
athletic	athletic	eJletik	pust	पुष्ट	एथलेटिक	পুষ্ট	pust	পুষ্ট	pust		
atmosphere	atmosphere	xtmasfere	wayumndl	वायुमंडल	अट्मॉस्फेरे	঵াযুমংডল	wayumndl	঵াযুমংডল	wayumndl		
attach	attach	xajjac	snlgn krna	संलग्न करना	आत्ताच	সংলগ্ন করনা	snlgn krna	সংলগ্ন করনা	snlgn krna		
attack	attack	xtxik	vmla	हमला	अटैक	হমলা	vmla	হমলা	vmla		
attempt	attempt	etempt	koSiS krna	कोशिश करना	एटेम्पट	কোশিশ করনা	koSiS krna	কোশিশ করনা	koSiS krna		
attend	attend	xtend	wets	वेट्स	अटेंड	঵েট্স	wets	঵েট্স	wets		
attention	attention	xtenSn	cejawni	चेतावनी	अटेंशन	চেতা঵নী	cejawni	চেতা঵নী	cejawni		
attitude	attitude	etitud	rwxiya	रवैया	ऐटिटूड	র঵ৈযা	rwxiya	র঵ৈযা	rwxiya		
attorney	attorney	xtarni	prjiniQi	प्रतिनिधि	अटॉर्नी	প্রতিনিধি	prjiniQi	প্রতিনিধি	prjiniQi		
attract	attract	xjjrkt	xakrsij	आकर्षित	अत्त्रक्ट	আকর্ষিত	xakrsij	আকর্ষিত	xakrsij		
attractive	attractiwe	xtrxiktiw	xakrsk	आकर्षक	अट्रैक्टिव	আকর্ষক	xakrsk	আকর্ষক	xakrsk		
attribute	attribute	etribyut	wiSesja	विशेषता	एट्रिब्यूट	঵িশেষতা	wiSesja	঵িশেষতা	wiSesja		
audience	audience	aodiyns	Sroja	श्रोता	ऑडियंस	শ্রোতা	Sroja	শ্রোতা	Sroja		
author	author	aoJr	leKk	लेखक	ऑथर	লেখক	leKk	লেখক	leKk		
authority	authority	xJariti	praQikrn	प्राधिकरण	अथॉरिटी	প্রাধিকরণ	praQikrn	প্রাধিকরণ	praQikrn		
auto	auto	aoto	gaRi	गाड़ी	ऑटो	গাড়ী	gaRi	গাড়ী	gaRi		
available	awailable	xwelebl	uplbQ	उपलब्ध	अवेलेबल	উপলব্ধ	uplbQ	উপলব্ধ	uplbQ		
average	awerage	ewrez	ousj	औसत	एवरेज	ঔসত	ousj	ঔসত	ousj		
avoid	awoid	xwayd	bcna	बचना	अवॉयड	বচনা	bcna	বচনা	bcna		
award	award	xward	purskar	पुरस्कार	अवार्ड	পুরস্কার	purskar	পুরস্কার	purskar		
aware	aware	xweyr	xwgj	अवगत	अवेयर	অ঵গত	xwgj	অ঵গত	xwgj		
awareness	awareness	xweyrnes	zagrukja	जागरूकता	अवेयरनेस	জাগরূকতা	zagrukja	জাগরূকতা	zagrukja		
away	away	xwe	qur	दूर	अवे	দূর	qur	দূর	qur		
awful	awful	awful	bvuj bRiya	बहुत बढ़िया	ावफुल	বহুত বঢ়িযা	bvuj bRiya	বহুত বঢ়িযা	bvuj bRiya		
baby	baby	bebi	SiSu	शिशु	बेबी	শিশু	SiSu	শিশু	SiSu		
back	back	bxik	piCe	पीछे	बैक	পীছে	piCe	পীছে	piCe		
background	background	bxikgraund	parSwBumi	पार्श्वभूमि	बैकग्राउंड	পার্শ্঵ভূমি	parSwBumi	পার্শ্঵ভূমি	parSwBumi		
bad	bad	baq	bura	बुरा	बाद	বুরা	bura	বুরা	bura		
badly	badly	bqli	buri jrv	बुरी तरह	बदली	বুরী তরহ	buri jrv	বুরী তরহ	buri jrv		
bag	bag	bxig	Jxila	थैला	बैग	থৈলা	Jxila	থৈলা	Jxila		
bake	bake	bake	seNkna	सेंकना	बाके	সেংকনা	seNkna	সেংকনা	seNkna		
balance	balance	bxilens	snjuln	संतुलन	बैलेंस	সংতুলন	snjuln	সংতুলন	snjuln		
ball	ball	bal	genq	गेंद	बॉल	গেংদ	genq	গেংদ	genq		
ban	ban	bn	prjibnQ	प्रतिबंध	बन	প্রতিবংধ	prjibnQ	প্রতিবংধ	prjibnQ		
band	band	bnq	bxind	बैंड	बंद	বৈংড	bxind	বৈংড	bxind		
bank	bank	bxiNk	bxiNk	बैंक	बैंक	বৈংক	bxiNk	বৈংক	bxiNk		
bar	bar	bar	CR	छड़	बार	ছড়	CR	ছড়	CR		
barely	barely	breli	muSkil se	मुश्किल से	बरेली	মুশ্কিল সে	muSkil se	মুশ্কিল সে	muSkil se		
barrel	barrel	bxirl	bxirl	बैरल	बैरल	বৈরল	bxirl	বৈরল	bxirl		
