Word,Hindi Meaning
Hate,नफ़रत करना
Like,पसंद करना
Dislike,नापसंद करना
Want,चाहना
Need,ज़रूरत
Give,देना
Take,लेना
Bring,लाना
Send,भेजना
Receive,प्राप्त करना
Buy,खरीदना
Sell,बेचना
Pay,भुगतान करना
Borrow,उधार लेना
Lend,उधार देना
Help,मदद करना
Support,सहारा देना
Save,बचाना
Protect,सुरक्षित करना
Fight,लड़ना
Win,जीतना
Lose,हारना
Study,पढ़ाई करना
Teach,सिखाना
Learn,सीखना
Read,पढ़ना
Write,लिखना
Speak,बोलना
Say,कहना
Tell,बताना
Ask,पूछना
Answer,उत्तर देना
Listen,सुनना
Hear,सुनना
See,देखना
Look,देखना
Show,दिखाना
Hide,छिपाना
Find,खोजना
Search,खोज करना
Discover,खोज निकालना
Create,बनाना
Build,निर्माण करना
Make,बनाना
Destroy,नष्ट करना
Cut,काटना
Join,जोड़ना
Connect,जोड़ना
Separate,अलग करना
Mix,मिलाना
Change,बदलना
Improve,सुधारना
Develop,विकसित करना
Grow,बढ़ना
Increase,बढ़ाना
Decrease,घटाना
Raise,उठाना
Drop,गिराना
Push,धक्का देना
Pull,खींचना
Carry,ले जाना
Throw,फेंकना
Catch,पकड़ना
Hold,पकड़ना
Keep,रखना
Leave,छोड़ना
Live,जीना
Die,मरना
Born,जन्म लेना
Age,उम्र
Young,युवा
Old,बूढ़ा
New,नया
Big,बड़ा
Small,छोटा
Long,लंबा
Short,छोटा
Tall,लंबा
Heavy,भारी
Light,हल्का
Strong,मज़बूत
Weak,कमज़ोर
Fast,तेज़
Slow,धीमा
Hot,गरम
Warm,गुनगुना
Cool,ठंडा
Dry,सूखा
Wet,गीला
Clean,साफ़
Dirty,गंदा
Beautiful,सुंदर
Ugly,कुरूप
Good,अच्छा
Bad,बुरा
Wrong,गलत
True,सत्य
False,असत्य
Easy,आसान
Difficult,कठिन
Hard,कठिन
Soft,नरम
Near,पास
Far,दूर
Inside,अंदर
Outside,बाहर
Up,ऊपर
Down,नीचे
Here,यहाँ
There,वहाँ
Every,हर
Some,कुछ
Many,कई
Few,थोड़े
All,सब
None,कोई नहीं
One,एक
Two,दो
Three,तीन
Four,चार
Five,पाँच
Six,छह
Seven,सात
Eight,आठ
Nine,नौ
Ten,दस
Hundred,सौ
Thousand,हज़ार
Million,दस लाख
First,पहला
Third,तीसरा
Last,अंतिम
Next,अगला
Previous,पिछला
Always,हमेशा
Never,कभी नहीं
Sometimes,कभी-कभी
Often,अक्सर
Usually,आम तौर पर
Now,अभी
Then,तब
Before,पहले
After,बाद में
Early,जल्दी
Late,देर
Family,परिवार
Parent,माता-पिता
Child,बच्चा
Brother,भाई
Sister,बहन
Uncle,चाचा
Aunt,चाची
Cousin,चचेरा भाई
Grandfather,दादा
Grandmother,दादी
Relative,रिश्तेदार
Friend,दोस्त
Neighbor,पड़ोसी
Guest,अतिथि
Host,मेज़बान
Teacher,शिक्षक
Student,विद्यार्थी
Class,कक्षा
School,विद्यालय
College,महाविद्यालय
University,विश्वविद्यालय
Subject,विषय
Lesson,पाठ
Exam,परीक्षा
Result,परिणाम
Pass,उत्तीर्ण
Fail,अनुत्तीर्ण
Degree,डिग्री
Certificate,प्रमाणपत्र
Knowledge,ज्ञान
Wisdom,बुद्धि
Skill,कौशल
Talent,प्रतिभा
Ability,क्षमता
Power,शक्ति
Energy,ऊर्जा
Force,बल
Strength,मज़बूती
Weakness,कमज़ोरी
Health,स्वास्थ्य
Disease,रोग
Illness,बीमारी
Medicine,दवा
Hospital,अस्पताल
Clinic,क्लिनिक
Treatment,उपचार
Operation,शल्यक्रिया
Surgery,सर्जरी
Blood,खून
Heart,दिल
Brain,मस्तिष्क
Eye,आँख
Ear,कान
Nose,नाक
Mouth,मुँह
Hand,हाथ
Leg,पैर
Foot,पाँव
Finger,उंगली
Toe,पैर की उंगली
Skin,त्वचा
Hair,बाल
Face,चेहरा
Body,शरीर
Life,जीवन
Death,मृत्यु
Birth,जन्म
Marriage,विवाह
Wedding,शादी
Husband,पति
Wife,पत्नी
Son,पुत्र
Daughter,पुत्री
Boy,लड़का
Girl,लड़की
Man,आदमी
Woman,महिला
People,लोग
Crowd,भीड़
Population,जनसंख्या
Nation,राष्ट्र
Country,देश
State,राज्य
City,शहर
Village,गाँव
Town,कस्बा
Capital,राजधानी
Government,सरकार
Army,सेना
War,युद्ध
Peace,शांति
Battle,युद्ध
Victory,जीत
Defeat,हार
Weapon,हथियार
Gun,बंदूक
Sword,तलवार
Bomb,बम
Crime,अपराध
Criminal,अपराधी
Court,अदालत
Law,कानून
Rule,नियम
Order,आदेश
Punishment,सज़ा
Prison,जेल
Freedom,स्वतंत्रता
Justice,न्याय
Duty,कर्तव्य
Responsibility,ज़िम्मेदारी
Moon,चाँद
Star,तारा
Sky,आसमान
Earth,पृथ्वी
World,दुनिया
Ocean,महासागर
Sea,समुद्र
River,नदी
Lake,झील
Mountain,पर्वत
Hill,पहाड़ी
Valley,घाटी
Forest,जंगल
Tree,पेड़
Plant,पौधा
Flower,फूल
Leaf,पत्ता
Root,जड़
Branch,डाली
Seed,बीज
Grass,घास
Stone,पत्थर
Sand,रेत
Soil,मिट्टी
Clay,मिट्टी
Rock,चट्टान
Mineral,खनिज
Metal,धातु
Gold,सोना
Silver,चाँदी
Iron,लोहा
Copper,ताँबा
Aluminum,एल्युमिनियम
Steel,इस्पात
Coal,कोयला
Petrol,पेट्रोल
Diesel,डीज़ल
Dark,अंधेरा
Day,दिन
Dawn,भोर
Dusk,संध्या
Storm,तूफ़ान
Fog,कोहरा
Mist,धुंध
Wind,हवा
Breeze,समीर
Air,वायु
Breath,श्वास
Oxygen,ऑक्सीजन
Carbon,कार्बन
Nitrogen,नाइट्रोजन
Hydrogen,हाइड्रोजन
Steam,भाप
Wave,लहर
Current,धारा
Tide,ज्वार
Flood,बाढ़
Drought,सूखा
Ash,राख
Temperature,तापमान
Climate,जलवायु
Environment,पर्यावरण
Nature,प्रकृति
Animal,जानवर
Bird,पक्षी
Insect,कीड़ा
Butterfly,तितली
Bee,मधुमक्खी
Ant,चींटी
Spider,मकड़ी
Snake,साँप
Tiger,बाघ
Lion,सिंह
Elephant,हाथी
Bear,भालू
Monkey,बंदर
Deer,हिरण
Rabbit,खरगोश
Fox,लोमड़ी
Wolf,भेड़िया
Camel,ऊँट
Horse,घोड़ा
Cow,गाय
Buffalo,भैंस
Goat,बकरी
Sheep,भेड़
Pig,सूअर
Dog,कुत्ता
Cat,बिल्ली
Hen,मुर्गी
Duck,बतख
Crow,कौवा
Parrot,तोता
Peacock,मोर
Sparrow,गौरैया
Eagle,गरुड़
Owl,उल्लू
Bat,चमगादड़
Whale,व्हेल
Shark,शार्क
Dolphin,डॉल्फ़िन
Octopus,ऑक्टोपस
Crab,केकड़ा
Lobster,झींगा
Starfish,स्टारफिश
Jellyfish,जेलीफ़िश
Frog,मेंढक
Toad,मेंढक
Lizard,छिपकली
Crocodile,मगरमच्छ
Turtle,कछुआ
Rat,चूहा
Mouse,माउस
Squirrel,गिलहरी
Kangaroo,कंगारू
Panda,पांडा
Zebra,ज़ेब्रा
Giraffe,जिराफ़
Hippo,दरियाई घोड़ा
Rhino,गैंडा
Leopard,तेंदुआ
Cheetah,चीता
Ox,बैल
Donkey,गधा
Mule,खच्चर
Word,Hindi Meaning
Book,किताब
Notebook,कॉपी
Library,पुस्तकालय
Pen,कलम
Pencil,पेंसिल
Eraser,रबर
Sharpener,छुरनी
Desk,मेज़
Chair,कुर्सी
Board,पट्ट
Marker,मार्कर
Test,परीक्षण
Intelligence,बुद्धिमत्ता
Idea,विचार
Thought,विचार
Mind,मन
Memory,स्मृति
Logic,तर्क
Reason,कारण
Science,विज्ञान
Math,गणित
Algebra,बीजगणित
Geometry,ज्यामिति
Physics,भौतिकी
Chemistry,रसायन
Biology,जीवविज्ञान
History,इतिहास
Geography,भूगोल
Economics,अर्थशास्त्र
Politics,राजनीति
Civics,नागरिकशास्त्र
Drama,नाटक
Sports,खेल
Game,खेल
Ball,गेंद
Football,फ़ुटबॉल
Cricket,क्रिकेट
Hockey,हॉकी
Tennis,टेनिस
Badminton,बैडमिंटन
Basketball,बास्केटबॉल
Volleyball,वॉलीबॉल
Running,दौड़ना
Jumping,कूदना
Swimming,तैरना
Cycling,साइकिल चलाना
Wrestling,कुश्ती
Boxing,मुक्केबाज़ी
Gym,जिम
Exercise,व्यायाम
Yoga,योग
Society,समाज
Community,समुदाय
Culture,संस्कृति
Tradition,परंपरा
House,घर
Home,आवास
Room,कमरा
Bathroom,स्नानघर
Bedroom,शयनकक्ष
Living room,बैठक
Dining room,भोजन कक्ष
Garden,बगीचा
Yard,आँगन
Balcony,बालकनी
Terrace,छत
Roof,छत
Wall,दीवार
Window,खिड़की
Door,दरवाज़ा
Gate,फाटक
Floor,फ़र्श
Ceiling,छत
Lamp,दीपक
Fan,पंखा
Switch,स्विच
Wire,तार
Battery,बैटरी
Electricity,बिजली
Machine,मशीन
Tool,औज़ार
Hammer,हथौड़ा
Saw,आरी
Screw,पेंच
Nail,कील
Drill,ड्रिल
Spanner,पाना
Wrench,पाना
Plier,प्लायर
Scissors,कैंची
Needle,सुई
Thread,धागा
Cloth,कपड़ा
Fabric,कपड़ा
Cotton,सूती
Silk,रेशम
Wool,ऊन
Leather,चमड़ा
Plastic,प्लास्टिक
Paper,कागज़
Cardboard,गत्ता
Bottle,बोतल
Jar,बरनी
Box,डिब्बा
Basket,टोकरी
Bin,कूड़ादान
Dust,धूल
Garbage,कचरा
Waste,अपशिष्ट
Wash,धोना
Soap,साबुन
Shampoo,शैम्पू
Brush,ब्रश
Comb,कंघी
Mirror,आईना
Towel,तौलिया
Bed,बिस्तर
Pillow,तकिया
Blanket,कंबल
Sheet,चादर
Mattress,गद्दा
Table,मेज़
Sofa,सोफ़ा
Cupboard,अलमारी
Shelf,तख़्ता
Frame,फ़्रेम
Curtain,पर्दा
Carpet,कालीन
Mat,चटाई
AC,एसी
Cooler,कूलर
Heater,हीटर
Oven,ओवन
Microwave,माइक्रोवेव
Fridge,फ़्रिज
Freezer,फ़्रीज़र
Mixer,मिक्सर
Grinder,ग्राइंडर
Juicer,जूसर
Cooker,कुकर
Pan,पैन
Pot,बर्तन
Chopsticks,चॉपस्टिक
Meal,भोजन
Train,रेलगाड़ी
Bus,बस
Car,गाड़ी
Truck,ट्रक
Bike,साइकिल
Motorcycle,मोटरसाइकिल
Scooter,स्कूटर
Taxi,टैक्सी
Cab,कैब
Auto,ऑटो
Rickshaw,रिक्शा
Ship,जहाज़
Boat,नाव
Submarine,पनडुब्बी
Airplane,विमान
Helicopter,हेलिकॉप्टर
Airport,हवाई अड्डा
Station,स्टेशन
Platform,प्लेटफ़ॉर्म
Ticket,टिकट
Fare,किराया
Island,द्वीप
Desert,रेगिस्तान
Petal,पंखुड़ी
Park,उद्यान
Bridge,पुल
Building,इमारत
Phone,फ़ोन
Computer,कंप्यूटर
Laptop,लैपटॉप
Keyboard,कीबोर्ड
Television,टेलीविज़न
Radio,रेडियो
Voice,आवाज़
Sound,ध्वनि
Noise,शोर
Silence,शांति
Truth,सत्य
Lie,झूठ
High,ऊँचा
Low,नीचा
Rich,अमीर
Poor,गरीब
Happy,खुश
Sad,दुखी
Angry,गुस्सा
Smile,मुस्कान
Cry,रोना
Laugh,हँसना
Wood,लकड़ी
Ink,स्याही
Lock,ताला
Key,चाबी
Chain,ज़ंजीर
Gift,उपहार
Toy,खिलौना
Stream,धारा
Pond,तालाब
Well,कुआँ
Plain,मैदान
Field,खेत
Farm,खेत
Crop,फ़सल
Harvest,फ़सल कटाई
Market,बाज़ार
Shop,दुकान
Customer,ग्राहक
Seller,विक्रेता
Price,कीमत
Cost,लागत
Value,मूल्य
Money,पैसा
Coin,सिक्का
Note,नोट
Bank,बैंक
Account,खाता
Loan,ऋण
Interest,ब्याज
Profit,लाभ
Loss,हानि
Tax,कर
Citizen,नागरिक
Custom,रीति
Grandson,पोता
Granddaughter,पोती
Blueberry,ब्लूबेरी
Sugarcane,गन्ना
Corn,मक्का
Barley,जौ
Oats,जई
Millet,बाजरा
Pulse,दाल
Lentil,मसूर
Mobile,मोबाइल
Eat,खाना
Sing,गाना
Hello,नमस्ते
Sun,सूरज
Language,भाषा
Letter,अक्षर
Number,संख्या
Father,पिता
Mother,माँ
Head,सिर
